Nama_Kos,Fasilitas,Harga
Kost Rooma 2A,K Mandi DalamKasurAkses 24 Jam,Rp440.000
Kost Pak Basri dan Winarni Tipe A,K Mandi DalamKloset DudukAkses 24 Jam,Rp500.000
Kost Gedhong Tipe A,K Mandi DalamAkses 24 Jam,Rp550.000
Kost Cinta Single A,K Mandi DalamWiFi,Rp600.000
Kost Al Fajr,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.300.000
Kost La Madam,K Mandi DalamAkses 24 Jam,Rp600.000
Kost KPPC,WiFiKasurAkses 24 Jam,Rp700.000
Kost Graha Cahya Persada 2,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.600.000
Kost Mpok Upa Tipe A,K Mandi DalamACKloset DudukKasur,Rp1.600.000
Kost Ibu Hasnah,K Mandi DalamACKasurAkses 24 Jam,Rp700.000
Kost Cinta Single F With AC & Bed,K Mandi DalamWiFiACKasur,Rp1.000.000
Kost Caca Tipe A,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.200.000
Kost Cinta Tipe Ekonomis,K Mandi DalamWiFiKasurAkses 24 Jam,Rp400.000
Kost Pandawa Tipe B,K Mandi DalamWiFiACKloset DudukKasur,Rp1.500.000
Kost Omah Vagabe 2,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.450.000
Kost Puti Kartini,K Mandi DalamWiFiACKloset DudukKasur,Rp1.250.000
Kost Bpk Manang Tipe A,K Mandi Dalam,Rp560.000
Kost Moses Tipe A,K Mandi DalamAkses 24 Jam,Rp650.000
Kost Puriyosefa Tipe A,WiFiACKloset DudukKasurAkses 24 Jam,Rp1.200.000
Kost Bu Tati I,K Mandi DalamAkses 24 Jam,Rp600.000
Kost Tiara,K Mandi DalamACKloset DudukKasur,Rp1.200.000
Kost Alfajr Tipe A,K Mandi DalamWiFiACKloset DudukAkses 24 Jam,Rp1.400.000
Kost Gaga Executive,K Mandi DalamAkses 24 Jam,Rp500.000
Kost Heavenest Tipe Cozy,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.700.000
Kost Mutiara 2 Tipe A,K Mandi DalamAkses 24 Jam,Rp550.000
Kost Asri Kaikan,K Mandi DalamWiFiACKloset DudukKasur,Rp1.300.000
Kost Mama Yasmin,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.200.000
Kost Graha,K Mandi DalamKloset Duduk,Rp850.000
Kost Mel Tipe A,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.300.000
Kost Syam Eka Pertiwi,K Mandi Dalam,Rp500.000
Kost Haji Heri,K Mandi DalamAkses 24 Jam,Rp900.000
Kost Sindang Jaya,K Mandi Dalam,Rp600.000
Kost MamahNeng,K Mandi DalamACKasur,Rp1.300.000
Kost Mutiara 2 Tipe B,K Mandi DalamKasurAkses 24 Jam,Rp600.000
Kost Nurhassan,K Mandi DalamKasur,Rp500.000
Kost Mama Yuli Tipe C,Akses 24 Jam,Rp400.000
Kost Hijau Tipe A,K Mandi DalamACKloset DudukKasurAkses 24 Jam,Rp1.200.000
Kost Muhjayin,K Mandi DalamKasurAkses 24 Jam,Rp500.000
Kost Dimirty Tipe Standart,K Mandi DalamAkses 24 Jam,Rp400.000
Kost Prastia Tipe A Kramatjati,K Mandi DalamAkses 24 Jam,Rp800.000
Kost Rumah Berkah Jaya,K Mandi Dalam,Rp600.000
Kost Asep Bpk H Kamin,Akses 24 Jam,Rp600.000
Kost Yasmin Residence,K Mandi DalamWiFiACKloset DudukKasurAkses 24 Jam,Rp1.500.000
Kost Pelangi Bu Agung Tipe A,K Mandi Dalam,Rp600.000
Kost Jl Gatot Subroto,Kasur,Rp500.000
Kost Ibu Haji Yuyum,K Mandi DalamACKloset DudukKasurAkses 24 Jam,Rp1.200.000
Kost Gaga Tipe C,K Mandi DalamAkses 24 Jam,Rp500.000
Kost Mamah Wahid,K Mandi DalamAkses 24 Jam,Rp550.000
